Timestamp,Symbol,Trigger_Reason,Entry_Price,Stop_Loss,Take_Profit_1,Take_Profit_2,Position_USDT,Max_Risk_USD,Status
2026-07-26 14:54:22,PENDLE/USDT,Near 1H 200 TEMA (0.63% away),1.5060,1.4533,1.5360,1.6867,285.71,10.00,OPEN
2026-07-26 14:54:25,LINK/USDT,Near 1H 200 TEMA (0.18% away) | Near 4H 200 TEMA (0.71% away),8.4650,8.1687,8.8883,9.4808,285.71,10.00,OPEN
2026-07-26 14:54:32,NEAR/USDT,Near 1H 200 TEMA (0.18% away),1.7900,1.7273,1.9200,2.0048,285.71,10.00,OPEN
2026-07-26 15:58:17,LINK/USDT,Near 1H 200 TEMA (0.52% away) | Near 4H 200 TEMA (0.38% away),8.4940,8.1967,8.9187,9.5133,285.71,10.00,OPEN
2026-07-26 15:58:24,NEAR/USDT,Near 1H 200 TEMA (0.20% away),1.7960,1.7331,1.9200,2.0115,285.71,10.00,OPEN
2026-07-26 16:08:03,LINK/USDT,Near 1H 200 TEMA (0.48% away) | Near 4H 200 TEMA (0.40% away),8.4920,8.1948,8.9166,9.5110,285.71,10.00,OPEN
2026-07-26 16:08:11,NEAR/USDT,Near 1H 200 TEMA (0.29% away),1.7969,1.7340,1.9200,2.0125,285.71,10.00,OPEN
2026-07-26 16:23:22,PENDLE/USDT,Near Volume POC (0.59% away),1.5270,1.4736,1.5360,1.7102,285.71,10.00,OPEN
2026-07-26 16:38:51,SOL/USDT,Near 1H 200 TEMA (0.75% away),75.3900,72.7514,77.4665,84.4368,285.71,10.00,OPEN
2026-07-26 16:38:55,SUI/USDT,Near 1H 200 TEMA (0.17% away),0.7197,0.6945,0.7405,0.8061,285.71,10.00,OPEN
2026-07-26 16:39:02,BTC/USDT,Near 1H 200 TEMA (0.26% away) | Near 4H 200 TEMA (0.50% away),64802.6900,62534.5958,68042.8245,72579.0128,285.71,10.00,OPEN
2026-07-26 16:39:06,ETH/USDT,Near 4H 200 TEMA (0.31% away),1915.9000,1848.8435,2011.6950,2145.8080,285.71,10.00,OPEN
2026-07-26 16:54:17,ONDO/USDT,Near 1H 200 TEMA (0.37% away),0.3950,0.3812,0.4148,0.4424,285.71,10.00,OPEN
2026-07-26 17:10:16,XRP/USDT,Near 1H 200 TEMA (0.16% away) | Near 4H 200 TEMA (0.08% away) | Near Volume POC (0.24% away),1.1026,1.0640,1.1577,1.2349,285.71,10.00,OPEN
2026-07-26 18:27:02,PENDLE/USDT,Near Volume POC (0.78% away),1.5240,1.4707,1.5360,1.7069,28.57,1.00,OPEN
